,Muntanya_russa,Ubicacio,Parc,Tipus,Data_obertura,Disseny,Fabricant,Model,Velocitat_màxima (mph),Llargada (ft),Altura_màxima (ft),Inversions,Duració,Elements
0,Bob Su Rotaia,Tarvisio / Friuli-Venezia Giulia / Italy,Promotur Tarvisio,Steel,2014,Sit Down,Wiegand,Alpine Coaster,NA,"2171,9",NA,0,NA,Cable Lift Hill
1,BocksBergBob,Goslar / Lower Saxony / Germany,ErlebnisBocksBerg,Steel,2012,Sit Down,Wiegand,Alpine Coaster,NA,"3690,9",NA,0,NA,NA
2,Breathtaker,Snowmass Village / Colorado / United States,Aspen Snowmass Ski Resort,Steel,2017,Sit Down,Wiegand,Alpine Coaster,"28,0",NA,NA,0,NA,Cable Lift Hill
3,Brocken Coaster,Schierke / Saxony-Anhalt / Germany,Brocken Coaster,Steel,2003,Sit Down,Wiegand,Alpine Coaster,NA,"1118,8",NA,0,NA,Cable Lift Hill
4,Canyon Coaster,Williams / Arizona / United States,Canyon Coaster Adventure Park,Steel,2021,Sit Down,Wiegand,Alpine Coaster,NA,NA,NA,0,NA,NA
5,Chiemgau Coaster,Ruhpolding / Bavaria / Germany,Chiemgau Coaster,Steel,2018-04-28,Sit Down,Wiegand,Alpine Coaster,NA,"3608,9",NA,0,NA,NA
6,Coaster at Goats on the Roof,Pigeon Forge / Tennessee / United States,Goats on the Roof of the Smokies,Steel,2015,Sit Down,NA,NA,NA,NA,NA,NA,NA,NA
7,Coasterbahn,Oberried / Baden-Württemberg / Germany,Steinwasen Park,Steel,2013,Sit Down,Wiegand,Alpine Coaster,NA,"3166,0",NA,0,NA,Cable Lift Hill
8,Coaster Bob,Rivera / Ticino / Switzerland,Monte Tamaro,Steel,2004,Sit Down,Wiegand,Alpine Coaster,NA,"2526,2",NA,0,NA,Cable Lift Hill
9,Coaster Ochsenkopf,Bischofsgrün / Bavaria / Germany,Seilschwebebahnen am Ochsenkopf,Steel,2015-08-13,Sit Down,Wiegand,Alpine Coaster,NA,"3608,0",NA,0,NA,NA
